,titles,years,imdb_ratings,metascores,votes
331,The Kitchen,(2019),5.4,35.0,11268
332,Lost Girls,(2020),6.1,67.0,11203
333,Good Newwz,(2019),7.1,,11170
334,A Hidden Life,(2019),7.4,78.0,11061
335,Gretel & Hansel,(2020),5.3,64.0,11025
336,Organize Isler: Sazan Sarmali,(2019),6.0,,10867
337,Love Wedding Repeat,(2020),5.5,41.0,10805
338,The Intruder (I),(2019),5.6,39.0,10708
339,Earthquake Bird,(2019),5.9,51.0,10677
340,Le chant du loup,(2019),6.9,,10607
341,Waves (I),(2019),7.6,80.0,10572
342,The Goldfinch,(2019),6.2,40.0,10553
343,"Love, Death & Robots (2019– ) Episode: Suits",(2019),7.5,,10536
344,"Love, Death & Robots (2019– ) Episode: Zima Blue",(2019),8.3,,10486
345,Horse Girl (I),(2020),5.9,61.0,10484
346,The Last Black Man in San Francisco,(2019),7.3,83.0,10419
347,"Love, Death & Robots (2019– ) Episode: Good Hunting",(2019),8.1,,10337
348,"Love, Death & Robots (2019– ) Episode: When the Yogurt Took Over",(2019),6.9,,10334
349,V-Wars,(2019),6.1,,10330
350,Black and Blue (I),(2019),6.3,54.0,10177
351,Point Blank,(2019),5.7,37.0,10169
352,"Mr. Robot (2015–2019) Episode: Hello, Elliot",(2019),9.9,,10136
353,Batman: Hush (2019,Video),6.9,,10132
354,Shingeki no kyojin (2013– ) Episode: Midnight Sun,(2019),9.9,,10079
355,The Twilight Zone (2019–,),5.7,,10010
356,Undone (2019–,),8.2,,9937
357,Mission Mangal,(2019),6.5,,9841
358,Warrior (2019–,),8.2,,9834
359,The Passage,(2019),7.4,,9795
360,Honeyland,(2019),8.0,86.0,9761
361,"Love, Death & Robots (2019– ) Episode: Sucker of Souls",(2019),6.5,,9750
362,The Righteous Gemstones (2019–,),8.1,,9737
363,Noelle,(2019),6.2,48.0,9683
364,Killer Inside: The Mind of Aaron Hernandez,(2020),7.4,,9679
365,Enaaya (2019–,),8.6,,9674
366,Kalank,(2019),3.7,,9637
367,Sorry We Missed You,(2019),7.6,82.0,9630
368,Marianne (2019–,),7.5,,9577
369,Reign of the Supermen,(2019),6.8,,9563
370,The Last Thing He Wanted,(2020),4.2,35.0,9494
371,Little Monsters,(2019),6.3,59.0,9490
372,Escape Plan: The Extractors,(2019),4.4,,9463
373,Les misérables,(2019),7.6,78.0,9459
374,"Love, Death & Robots (2019– ) Episode: Shape-Shifters",(2019),7.5,,9455
375,Christmas in the Wild,(2019),6.1,,9441
376,Dream Girl (III),(2019),7.1,,9439
377,La Casa de Papel (2017– ) Episode: La deriva,(2019),9.5,,9428
378,The Last Summer,(2019),5.6,,9415
379,Yakusoku no Neverland (2019–,),8.8,,9387
380,Tenki no ko,(2019),7.6,72.0,9366
381,Knock Down the House,(2019),6.9,80.0,9357
382,Shingeki no kyojin (2013– ) Episode: Perfect Game,(2019),9.9,,9306
383,Better Call Saul (2015– ) Episode: Bagman,(2020),9.8,,9238
384,Paradise Hills,(2019),5.7,50.0,9207
385,Paddleton,(2019),7.2,70.0,9131
386,Monos,(2019),7.1,78.0,9130
387,3 from Hell,(2019),5.6,50.0,9120
388,Escape from Pretoria,(2020),6.8,56.0,9101
389,Jinn (2019–,),3.5,,9054
390,I See You (II),(2019),6.7,65.0,9042
391,Little (I),(2019),5.4,49.0,9036
392,Bigil,(2019),6.9,,9034
393,Thappad (I),(2020),6.9,,9007
394,Bala,(2019),7.4,,8992
395,"Love, Death & Robots (2019– ) Episode: The Secret War",(2019),8.1,,8946
396,"Love, Death & Robots (2019– ) Episode: Helping Hand",(2019),7.5,,8941
397,"Love, Death & Robots (2019– ) Episode: The Dump",(2019),6.3,,8846
398,"Love, Death & Robots (2019– ) Episode: Lucky 13",(2019),7.5,,8791
399,Avenue 5 (2020–,),6.4,,8787
400,A Fall from Grace,(2020),5.8,34.0,8726
401,"Love, Death & Robots (2019– ) Episode: Ice Age",(2019),7.0,,8719
402,"Love, Death & Robots (2019– ) Episode: Fish Night",(2019),6.4,,8663
403,Virgin River (2019–,),7.5,,8655
404,The Walking Dead (2010– ) Episode: The Calm Before,(2019),9.4,,8650
405,The Rat (II),(2019),2.3,,8623
406,Polaroid (I),(2019),5.1,,8609
407,Delhi Crime (2019–,),8.5,,8587
408,Avengement (I),(2019),6.5,63.0,8575
409,The Room,(2019),6.0,,8561
410,Better Call Saul (2015– ) Episode: Bad Choice Road,(2020),9.8,,8522
411,Wonder Park,(2019),5.8,45.0,8521
412,Section 375,(2019),8.1,,8422
413,Tell Me Who I Am,(2019),7.6,69.0,8421
414,Wu Assassins (2019–,),6.4,,8415
415,The Banker,(2020),7.2,59.0,8392
416,Shingeki no kyojin (2013– ) Episode: That Day,(2019),9.9,,8390
417,Hogar,(2020),6.3,,8341
418,Housefull 4,(2019),3.4,,8284
419,Diego Maradona,(2019),7.7,78.0,8283
420,The Loudest Voice,(2019),7.9,,8246
421,Triple Threat,(2019),5.5,60.0,8242
422,"Love, Death & Robots (2019– ) Episode: Alternate Histories",(2019),6.4,,8239
423,Rick and Morty (2013– ) Episode: Edge of Tomorty: Rick Die Rickpeat,(2019),9.1,,8171
424,Dabangg 3,(2019),3.4,,8160
425,Project Blue Book (2019–,),7.6,,8112
426,Otherhood,(2019),6.0,38.0,8112
427,Mr. Robot (2015–2019) Episode: 409 Conflict,(2019),9.8,,8078
428,Batla House,(2019),7.2,,8068
429,Guava Island,(2019),6.7,,8008
430,Coffee & Kareem,(2020),5.1,35.0,7982
431,Manikarnika: The Queen of Jhansi,(2019),6.4,,7973
432,Prodigal Son (2019–,),7.7,,7973
433,Mr. Robot (2015–2019) Episode: 405 Method Not Allowed,(2019),9.8,,7962
434,The Mustang,(2019),6.9,77.0,7961
435,The New Pope (2019–,),8.2,,7905
436,Special OPS (2020–,),8.7,,7898
437,Anima (I),(2019),7.7,,7889
438,For All Mankind (2019–,),7.4,,7870
439,"Love, Death & Robots (2019– ) Episode: Blind Spot",(2019),6.4,,7782
440,BoJack Horseman (2014–2020) Episode: The View from Halfway Down,(2020),9.9,,7734
441,See You Yesterday,(2019),5.1,74.0,7729
442,Watchmen (2019) Episode: It's Summer and We're Running Out of Ice,(2019),8.0,,7700
443,Whiskey Cavalier,(2019),7.1,,7637
444,Light of My Life,(2019),6.6,67.0,7633
445,Criminal: UK (2019–,),7.4,,7624
446,Spinning Out,(2020),7.7,,7597
447,Raising Dion (2019–,),7.2,,7554
448,"Roswell, New Mexico (2019–",),6.1,,7530
449,The Devil Next Door,(2019),7.6,,7424
450,Playing with Fire (I),(2019),4.9,24.0,7422
451,Gentleman Jack (2019–,),8.2,,7394
452,Black Christmas,(2019),3.2,49.0,7388
453,Petta,(2019),7.3,,7385
454,Bard of Blood (2019–,),7.0,,7334
455,The English Game (2020–,),7.6,,7319
456,Luka Chuppi (I),(2019),6.3,,7306
457,Westworld (2016– ) Episode: Parce Domine,(2020),8.6,,7267
458,Iron Sky: The Coming Race,(2019),5.0,,7266
459,The Tashkent Files,(2019),7.8,,7242
460,Miracle Workers (2019–,),7.0,,7226
461,Lucifer (2015– ) Episode: Who's da New King of Hell?,(2019),9.7,,7201
462,True Detective (2014– ) Episode: The Great War and Modern Memory,(2019),8.7,,7193
463,Batman vs Teenage Mutant Ninja Turtles (2019,Video),7.1,,7168
464,J'accuse,(2019),7.2,56.0,7139
465,Bill Burr: Paper Tiger (2019 TV,Special),8.2,,7130
466,"Oh, Ramona!",(2019),4.9,,7110
467,Enes Batur Gerçek Kahraman,(2019),3.0,,7098
